decision_time,entry_time,exit_time,candidate_id,candidate_family,direction,h4_body_fraction,m15_ema200_slope12_atr14,base_r,strong_r,extreme_r,outcome,holding_minutes
2025-07-11 18:00:00,2025-07-11 18:00:00,2025-07-11 18:20:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.905800082271,0.647966814622,-1.0,-1.07091566894,-1.14183133788,PROTECTIVE,20
2025-07-11 18:30:00,2025-07-11 18:30:00,2025-07-11 18:52:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.905800082271,0.714809421025,1.5,1.42876399979,1.35752799958,TARGET,22
2025-07-21 17:00:00,2025-07-21 17:00:00,2025-07-21 17:11:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.821345707657,0.865579644891,-1.0,-1.09174460084,-1.18348920167,PROTECTIVE,11
2025-07-22 16:15:00,2025-07-22 16:15:00,2025-07-22 16:23:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.806157849089,0.60537751777,-1.0,-1.09644289005,-1.19288578011,PROTECTIVE,8
2025-07-22 17:00:00,2025-07-22 17:00:00,2025-07-22 17:01:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.806157849089,0.679100197583,1.5,1.41798811286,1.33597622572,TARGET,1
2025-08-01 17:30:00,2025-08-01 17:30:00,2025-08-01 22:31:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.895821408128,0.465858112382,-1.0,-1.04992016823,-1.09984033645,PROTECTIVE,301
2025-08-20 18:00:00,2025-08-20 18:00:00,2025-08-20 18:24:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.848285580085,0.397863649707,1.5,1.39884743249,1.29769486498,TARGET,24
2025-09-08 17:15:00,2025-09-08 17:15:00,2025-09-08 17:58:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.752601156069,0.981844748325,-1.0,-1.06377474775,-1.12754949551,PROTECTIVE,43
2025-09-23 12:30:00,2025-09-23 12:30:00,2025-09-23 15:12:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.933855799373,1.01755174643,1.5,1.43716553398,1.37433106796,TARGET,162
2025-10-17 03:00:00,2025-10-17 03:00:00,2025-10-17 04:17:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.757369614512,0.988735137547,1.5,1.47613626676,1.45227253352,TARGET,77
2025-11-28 20:45:00,2025-11-28 20:45:00,2025-11-28 21:40:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.999710312862,0.703524191775,0.160640949598,0.112448664718,0.064256379839,TIME,55
2025-12-23 04:00:00,2025-12-23 04:00:00,2025-12-23 04:33:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.8541575011,1.36850726694,-1.0,-1.05475217482,-1.10950434965,PROTECTIVE,33
2026-01-12 03:00:00,2026-01-12 03:00:00,2026-01-12 03:45:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.873194786897,0.755547743767,1.5,1.46448534866,1.42897069732,TARGET,45
2026-01-21 04:45:00,2026-01-21 04:45:00,2026-01-21 05:04:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.835567367691,1.0206028179,-1.0,-1.03129525045,-1.06259050091,PROTECTIVE,19
2026-01-21 05:15:00,2026-01-21 05:15:00,2026-01-21 05:41:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.835567367691,1.08275171318,-1.0,-1.02859342268,-1.05718684536,PROTECTIVE,26
2026-01-21 07:45:00,2026-01-21 07:45:00,2026-01-21 08:26:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.835567367691,1.40221571372,-1.0,-1.03068446326,-1.06136892653,PROTECTIVE,41
2026-01-29 01:45:00,2026-01-29 01:45:00,2026-01-29 01:56:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.796143617021,0.859580583731,1.5,1.4859247212,1.47184944241,TARGET,11
2026-01-29 02:45:00,2026-01-29 02:45:00,2026-01-29 03:10:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.796143617021,0.89755667357,1.5,1.48768392561,1.47536785122,TARGET,25
2026-03-02 09:30:00,2026-03-02 09:30:00,2026-03-02 11:21:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.823176823177,1.11139423352,1.5,1.47007520171,1.44015040341,TARGET,111
2026-04-08 03:15:00,2026-04-08 03:15:00,2026-04-08 04:21:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.750772558714,0.566514529473,1.5,1.48273344853,1.46546689705,TARGET,66
2026-06-12 01:15:00,2026-06-12 01:15:00,2026-06-12 01:44:00,GML1-MLC-005-S,HIGH_VOL_EXHAUSTION_REVERSAL,SHORT,0.880499325236,0.364877578169,-1.0,-1.0318377075,-1.063675415,PROTECTIVE,29
