candidate_id,decision_time,exit_time,r,direction,comp,w,size,weighted_r
GML1-PROV-016-APPROX,2026-01-28 09:15:00,2026-01-28 09:54:00,1.5,LONG,P16,0.5,0.7384615384615384,1.1076923076923075
GML1-PROV-016-APPROX,2026-01-28 14:00:00,2026-01-28 15:03:00,1.5,LONG,P16,0.5,0.7384615384615384,1.1076923076923075
GML1-H1D1-STATEFUL-REENTRY24-C,2026-01-28 15:00:00,2026-01-28 16:06:00,-0.9999999999999868,LONG,B_STATE,1.0,1.4769230769230768,-1.4769230769230572
GML1-PROV-018-APPROX,2026-01-28 19:00:00,2026-01-28 20:23:00,1.0,LONG,P18,0.25,0.3692307692307692,0.3692307692307692
GML1-H1D1-STATEFUL-REENTRY24-C,2026-01-28 23:00:00,2026-01-28 23:55:00,0.9999999999999976,LONG,B_STATE,1.0,1.4769230769230768,1.4769230769230732
GML1-WATCH-022-B,2026-02-04 16:00:00,2026-02-04 16:26:00,-0.9999999999999902,LONG,A_CORE,1.0,1.4769230769230768,-1.4769230769230624
GML1-WATCH-022-B,2026-02-05 01:15:00,2026-02-05 03:13:00,-0.9999999999999802,LONG,A_CORE,1.0,1.4769230769230768,-1.4769230769230477
GML1-WATCH-022-B,2026-02-10 01:15:00,2026-02-10 01:43:00,1.0000000000000122,LONG,A_CORE,1.0,1.4769230769230768,1.4769230769230948
GML1-WATCH-022-B,2026-02-11 01:15:00,2026-02-11 01:19:00,0.9999999999999484,LONG,A_CORE,1.0,1.4769230769230768,1.4769230769230006
GML1-H1D1-STATEFUL-REENTRY24-C,2026-02-11 13:00:00,2026-02-11 14:00:00,1.0000000000000178,LONG,B_STATE,1.0,1.4769230769230768,1.476923076923103
GML1-H1D1-STATEFUL-REENTRY24-C,2026-02-11 20:00:00,2026-02-12 01:11:00,-0.999999999999992,LONG,B_STATE,1.0,1.4769230769230768,-1.476923076923065
GML1-WATCH-022-B,2026-02-12 01:15:00,2026-02-12 02:14:00,-1.0000000000000222,LONG,A_CORE,1.0,1.4769230769230768,-1.4769230769231096
GML1-WATCH-022-B,2026-02-20 01:15:00,2026-02-20 01:57:00,-0.9999999999999476,LONG,A_CORE,1.0,1.4769230769230768,-1.4769230769229993
GML1-WATCH-022-B,2026-02-23 01:15:00,2026-02-23 01:42:00,1.0000000000000462,LONG,A_CORE,1.0,1.4769230769230768,1.476923076923145
GML1-H1D1-STATEFUL-REENTRY24-C,2026-02-23 02:00:00,2026-02-23 02:07:00,-0.9999999999999925,LONG,B_STATE,1.0,1.4769230769230768,-1.4769230769230657
