trade_id,ticker,direction,entry_decision_time_utc,entry_server_open,entry_transition,entry_origin,exit_decision_time_utc,exit_server_open,exit_transition,exit_origin,entry_rci9,entry_rci9_delta1,entry_rci9_turn_up,entry_rci9_turn_down,entry_ema_alignment,entry_ema20_minus_ema30_bps,entry_ema30_minus_ema40_bps
XAUUSD_20260720T161500Z_SHORT,XAUUSD,SHORT,2026-07-20T16:15:00Z,2026.07.20 19:15:00,PRIMARY_SHORT,NON_EXTRA,2026-07-20T17:15:00Z,2026.07.20 20:15:00,SHORT_EXIT,NON_EXTRA,68.33333333333333,-10.0,False,True,BEARISH_STACK,-1.5013238192127276,-0.22510853474817127
XAUUSD_20260720T180000Z_SHORT,XAUUSD,SHORT,2026-07-20T18:00:00Z,2026.07.20 21:00:00,PRIMARY_SHORT,EXTRA_CANDIDATE,2026-07-20T18:15:00Z,2026.07.20 21:15:00,SHORT_EXIT,EXTRA_CANDIDATE,-68.33333333333333,-3.333333333333343,False,True,BEARISH_STACK,-2.053771779805771,-0.8918225303349614
BTCUSD_20260720T181500Z_LONG,BTCUSD,LONG,2026-07-20T18:15:00Z,2026.07.20 21:15:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-20T21:15:00Z,2026.07.21 00:15:00,LONG_EXIT,NON_EXTRA,33.333333333333336,60.0,True,False,BULLISH_STACK,24.94357342213913,16.350497601331362
XAUUSD_20260720T191500Z_SHORT,XAUUSD,SHORT,2026-07-20T19:15:00Z,2026.07.20 22:15:00,PRIMARY_SHORT,EXTRA_CANDIDATE,2026-07-20T23:30:00Z,2026.07.21 02:30:00,SHORT_EXIT,EXTRA_CANDIDATE,-73.33333333333334,-5.000000000000014,False,True,BEARISH_STACK,-2.674150241388879,-1.4885846002945788
BTCUSD_20260720T231500Z_LONG,BTCUSD,LONG,2026-07-20T23:15:00Z,2026.07.21 02:15:00,PRIMARY_LONG,NON_EXTRA,2026-07-21T00:45:00Z,2026.07.21 03:45:00,LONG_EXIT,NON_EXTRA,-86.66666666666667,5.0,True,False,BULLISH_STACK,6.519255677196449,8.993359169269603
XAUUSD_20260721T031500Z_LONG,XAUUSD,LONG,2026-07-21T03:15:00Z,2026.07.21 06:15:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-21T03:30:00Z,2026.07.21 06:30:00,LONG_EXIT,EXTRA_CANDIDATE,60.0,20.0,True,False,BULLISH_STACK,8.251544716234221,4.662304852904731
BTCUSD_20260721T030000Z_LONG,BTCUSD,LONG,2026-07-21T03:00:00Z,2026.07.21 06:00:00,PRIMARY_LONG,NON_EXTRA,2026-07-21T03:45:00Z,2026.07.21 06:45:00,LONG_EXIT,NON_EXTRA,-53.33333333333334,20.0,True,False,BULLISH_STACK,5.330606880730481,6.995469320908412
XAUUSD_20260721T054500Z_LONG,XAUUSD,LONG,2026-07-21T05:45:00Z,2026.07.21 08:45:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-21T06:00:00Z,2026.07.21 09:00:00,LONG_EXIT,EXTRA_CANDIDATE,93.33333333333333,25.0,True,False,BULLISH_STACK,14.951175466957604,10.162484084121706
BTCUSD_20260721T060000Z_LONG,BTCUSD,LONG,2026-07-21T06:00:00Z,2026.07.21 09:00:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-21T06:30:00Z,2026.07.21 09:30:00,LONG_EXIT,EXTRA_CANDIDATE,46.666666666666664,13.333333333333329,True,False,BULLISH_STACK,8.87227421135143,8.44680547728563
XAUUSD_20260721T061500Z_LONG,XAUUSD,LONG,2026-07-21T06:15:00Z,2026.07.21 09:15:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-21T06:30:00Z,2026.07.21 09:30:00,LONG_EXIT,EXTRA_CANDIDATE,96.66666666666667,5.000000000000014,True,False,BULLISH_STACK,16.699604130998704,11.524309277911511
