candidate_id,tier,status,dedupe_group,setup,activation,retest,entry,exit,n,wr,pf,net_usd,dd_usd,median_monthly,known_weakness
TREND_LONG_EFFORT_LEVEL_P1_BASE_P50,PROVISIONAL_OBSERVATION_LEAD,RESEARCH_ONLY,trend_long_effort_activation_retest,"EFFORT_RESULT_CONT LONG in TREND_ALIGNED_NORMAL or TREND_ALIGNED_HIGH","3 USD favorable within 15m before 1 USD adverse","1 USD pullback through frozen activation level then bullish close back above activation level within 30m",next M1 open,"50% at +5 USD; remaining 50% stop to breakeven; final +10 USD; initial SL5; horizon240m",53,0.6037735849,1.7001432518,68.425,20.23,1.0,"retrospective extraction; 2024H1 and 2026JUL weak; no fresh prospective block"
TREND_LONG_HTF_LEVEL_P1_BASE_P50,PROVISIONAL_OBSERVATION_LEAD,RESEARCH_ONLY,trend_long_htf_activation_retest,"HTF_PULLBACK_RESUME LONG in TREND_ALIGNED_NORMAL or TREND_ALIGNED_HIGH","3 USD favorable within 15m before 1 USD adverse","1 USD pullback through frozen activation level then bullish close back above activation level within 30m",next M1 open,"50% at +5 USD; remaining 50% stop to breakeven; final +10 USD; initial SL5; horizon240m",47,0.6595744681,2.0820000000,86.56,15.0,1.0,"retrospective extraction; 2026H1 negative; no fresh prospective block"
