half,horizon,tp,sl,count,cost2_expectancy,cost2_pf,cost2_pnl
2025H1,240,25.0,15.0,25,4.62880000000001,2.0259774802730766,115.72000000000025
2025H2,240,25.0,15.0,33,1.9869696969696744,1.4222150676110712,65.56999999999925
2026H1,240,25.0,15.0,30,-2.6670000000000074,0.7419115512402821,-80.01000000000022
