strategy,criterion,pass
H1,resolved_trade_min,True
H1,coverage_ge_98pct,True
H1,cost2_expectancy_positive,False
H1,cost2_pf_ge_1_15,False
H1,cost5_expectancy_positive,False
H1,pre_2025_cost2_pnl_nonnegative,False
H1,long_short_count_min,True
H1,long_short_cost2_pnl_nonnegative,False
H1,single_year_gross_profit_share_le_70pct,True
H1,max_dd_le_gross_profit,True
H1,m1_direction_entry_parity_100pct,True
H4,resolved_trade_min,True
H4,coverage_ge_98pct,True
H4,cost2_expectancy_positive,False
H4,cost2_pf_ge_1_15,False
H4,cost5_expectancy_positive,False
H4,pre_2025_cost2_pnl_nonnegative,False
H4,long_short_count_min,True
H4,long_short_cost2_pnl_nonnegative,False
H4,single_year_gross_profit_share_le_70pct,True
H4,max_dd_le_gross_profit,True
H4,m1_direction_entry_parity_100pct,True
