metric,horizon,pairs,mean_difference_event_minus_control,ci_low_2_5,ci_high_97_5
mfe,120,89,-4.985056179775256,-7.776862359550529,-1.9387640449438892
mae,120,89,6.4831460674157455,4.390985955056137,8.693547752808938
