year,n,median_h1_atr_usd,average_h1_atr_usd,median_full_sl_loss_usd,average_full_sl_loss_usd,maximum_full_sl_loss_usd,dollar_dd,r_dd,r_sum,sl_count
2024,39,5.509342944463204,5.456693507322469,7.486678680579004,7.420866884153085,13.870861164947362,26.99373148910854,5.6280871284396845,11.636876213721713,17
2025,30,7.6551985348638585,8.343507964177073,10.168998168579822,11.029384955221344,18.8063259743669,33.53937262532518,5.788773611225958,10.933529036084606,10
2026,14,18.622051298030133,18.34569049651875,23.877564122537667,23.53211312064844,30.919168106694052,58.868417759437946,2.041727905831535,2.011873824341222,4
