family,legacy_8h_loss_count_with_horizon,later_horizon_trading_hours,later_positive_count,later_positive_rate,later_mean_return,later_median_return,later_median_mfe,later_median_mae
C1_CHANNEL6_REFERENCE_ONLY,34,24,16,0.47058823529411764,2.9149999999999503,-0.8150000000000546,25.644999999999982,-46.72000000000003
C1_CHANNEL6_REFERENCE_ONLY,34,48,22,0.6470588235294118,18.410882352941115,29.76000000000022,51.60499999999979,-55.84999999999991
C1_CHANNEL6_REFERENCE_ONLY,34,72,25,0.7352941176470589,54.76647058823528,52.87000000000012,85.95500000000015,-61.63499999999976
C1_CHANNEL6_REFERENCE_ONLY,33,120,21,0.6363636363636364,47.474545454545435,89.0,154.0599999999995,-71.76000000000022
F12_H1_FALSE_BREAK_RECLAIM_REFERENCE_ONLY,19,24,10,0.5263157894736842,-5.149999999999995,3.3899999999998727,18.4399999999996,-24.389999999999873
F12_H1_FALSE_BREAK_RECLAIM_REFERENCE_ONLY,19,48,15,0.7894736842105263,11.768947368420964,19.029999999999745,50.85999999999967,-24.389999999999873
F12_H1_FALSE_BREAK_RECLAIM_REFERENCE_ONLY,19,72,14,0.7368421052631579,51.9863157894737,31.579999999999927,76.45000000000073,-24.389999999999873
F12_H1_FALSE_BREAK_RECLAIM_REFERENCE_ONLY,19,120,12,0.631578947368421,52.27421052631574,75.39999999999964,137.46000000000004,-34.530000000000655
