model,quantile,threshold,calibration_n
SGD_A1E4,0.9,0.8197548325380573,5865
SGD_A1E4,0.95,0.870400598284239,5865
SGD_A5E4,0.9,0.6238704380336392,5865
SGD_A5E4,0.95,0.6536000648718836,5865
