timeframe,exact_overlap,overlap_start,overlap_end,open_diff,high_diff,low_diff,close_diff,direct_parity_possible
m1,0,,,0,0,0,0,False
m5,58092,2025-03-07 04:25:00,2025-12-31 19:55:00,0,0,0,0,True
m15,19363,2025-03-07 05:00:00,2025-12-31 19:45:00,0,0,0,0,True
h1,5894,2025-01-02 08:00:00,2025-12-31 19:00:00,0,0,0,0,True
h4,1541,2025-01-02 08:00:00,2025-12-31 16:00:00,0,0,0,0,True
d1,258,2025-01-02 00:00:00,2025-12-31 00:00:00,0,0,0,0,True
