portfolio,year,n,wins,losses,win_rate,pf,profit,dd,current_trades,old_candidate_trades
CURRENT_STAGE284_286_SAFE,2024,242,154,88,0.6363636363636364,1.6452078476376886,279.44973547467157,28.94112080381211,242,0
CURRENT_STAGE284_286_SAFE,2025,229,150,79,0.6550218340611353,1.9405961307567556,600.1607503293883,42.9229853282708,229,0
CURRENT_STAGE284_286_SAFE,2026,102,71,31,0.696078431372549,2.8428076234281456,965.6008808154027,66.06159660301591,102,0
CURRENT_PLUS_OLD_B_BUY_BLOCK_ANY,2024,247,160,87,0.6477732793522267,1.7875108684437744,444.1224415425487,43.56676551309903,199,48
CURRENT_PLUS_OLD_B_BUY_BLOCK_ANY,2025,231,147,84,0.6363636363636364,2.1555337052273535,864.7694499512188,86.57977056727816,197,34
CURRENT_PLUS_OLD_B_BUY_BLOCK_ANY,2026,106,71,35,0.6698113207547169,2.5414593638419,1095.913198624444,73.05000000000018,95,11
