subtype,year,fit_start,cal_start,fit_n,cal_n,test_n,positives,base_rate,roc_auc,pr_auc,q90_n,q90_rate,q90_lift,q95_n,q95_rate,q95_lift,q975_n,q975_rate,q975_lift,q99_n,q99_rate,q99_lift
CONT,2024,2023-01-13 08:00:00,2023-07-01,1533,1852,3278,135,0.041183648566198904,0.6764992163655861,0.0712339231400303,356,0.0898876404494382,2.1826050769870995,193,0.08808290155440414,2.1387833429284204,114,0.06140350877192982,1.4909681611435996,30,0.03333333333333333,0.8093827160493827
CONT,2025,2023-01-13 08:00:00,2024-07-01,4980,1683,3505,160,0.0456490727532097,0.6726887144992526,0.08917553728278002,283,0.11307420494699646,2.477031802120141,140,0.12857142857142856,2.816517857142857,72,0.1388888888888889,3.0425347222222223,24,0.20833333333333334,4.563802083333333
CONT,2026,2024-01-01 00:00:00,2025-07-01,4974,1809,1606,69,0.04296388542963885,0.5391643800741139,0.04566850049366705,125,0.032,0.7448115942028986,54,0.0,0.0,31,0.0,0.0,15,0.0,0.0
REV,2024,2023-01-13 08:00:00,2023-07-01,1533,1852,3278,161,0.049115314215985355,0.6562329999581537,0.09771858065615963,185,0.10810810810810811,2.201107940238375,64,0.125,2.5450310559006213,20,0.3,6.10807453416149,8,0.375,7.635093167701863
REV,2025,2023-01-13 08:00:00,2024-07-01,4980,1683,3505,167,0.04764621968616262,0.694813488660785,0.09548863656950102,386,0.11658031088082901,2.446790357109615,181,0.1270718232044199,2.666986469050849,92,0.13043478260869565,2.737568341577714,21,0.14285714285714285,2.9982891360136867
REV,2026,2024-01-01 00:00:00,2025-07-01,4974,1809,1606,65,0.040473225404732256,0.6904307891978236,0.08009367826075599,120,0.08333333333333333,2.0589743589743588,64,0.125,3.088461538461538,25,0.12,2.9649230769230766,11,0.09090909090909091,2.246153846153846
