source,year,max_dd,peak_time,trough_time,recovery_time,peak_value,trough_value,trades_from_peak_to_trough,losses_from_peak_to_trough
STAGE281_CANDIDATE,2024,26.99373148910854,2024-03-01 11:10:00,2024-03-14 14:45:00,2024-04-12 15:20:00,7.670909529183201,-19.32282195992534,5,5
BASE_PLUS_STAGE281,2024,34.373921514706836,2024-03-08 18:20:00,2024-04-02 02:00:00,2024-04-17 09:50:00,24.268227483916775,-10.105694030790065,13,9
STAGE281_CANDIDATE,2025,33.53937262532518,2025-01-10 04:00:00,2025-02-13 09:50:00,2025-06-12 14:50:00,37.556474733336564,4.017102108011384,6,6
BASE_PLUS_STAGE281,2025,58.46457996869091,2025-05-07 14:40:00,2025-06-12 06:10:00,2025-06-17 18:15:00,146.75136852277387,88.28678855408296,14,9
STAGE281_CANDIDATE,2026,58.868417759437946,2026-02-20 12:20:00,2026-03-11 12:55:00,,51.02465688428965,-7.843760875148298,2,2
BASE_PLUS_STAGE281,2026,90.09946395598672,2026-03-05 18:10:00,2026-03-17 13:55:00,2026-04-23 21:10:00,446.14220953832637,356.04274558233965,8,5
