summary_type,timeframe,hypothesis,axis_1,category_1,axis_2,category_2,horizon_hours,n,positive_rate,mean_return_atr,median_return_atr,median_mfe_atr,median_mae_atr,q25_return_atr,q75_return_atr,median_mfe_mae_ratio,top_hour_share,n_2025,positive_rate_2025,mean_return_atr_2025,median_return_atr_2025,n_2026,positive_rate_2026,mean_return_atr_2026,median_return_atr_2026,n_long,positive_rate_long,mean_return_atr_long,median_return_atr_long,n_short,positive_rate_short,mean_return_atr_short,median_return_atr_short,n_long_2025,mean_return_atr_long_2025,n_long_2026,mean_return_atr_long_2026,n_short_2025,mean_return_atr_short_2025,n_short_2026,mean_return_atr_short_2026,source_sign_stable_positive,source_sign_stable_negative,adjacent_positive_median,base_researchable_distribution_cell,direction_stable,researchable_distribution_cell,direction_biased_research_lead
INTERACTION,H1,TIMEFRAME_TREND,trend_state,WEAK_TREND,volatility_bucket,LOW,48,570,0.6280701754385964,2.3801068327143327,1.8866602802144399,4.430342474774033,-2.5340275669089816,-1.834492396020342,6.110820263641937,1.748340283518772,0.05789473684210526,362,0.6795580110497238,3.1979910706978227,2.9828639810378186,208,0.5384615384615384,0.9566736877622978,0.2912738653092771,353,0.6685552407932012,3.5244547755532936,3.639385646904642,217,0.5622119815668203,0.5185638657919683,0.7917891617130229,225,5.126098639014571,128,0.7090651718127663,137,0.0313910497396591,80,1.352847313281548,True,False,True,True,True,True,False
INTERACTION,H1,TIMEFRAME_TREND,hour_bin,UTC20_23,volatility_bucket,LOW,72,255,0.5882352941176471,2.163791742934014,1.5086163008279478,5.189635950118578,-2.947095630044584,-3.0107188552288062,5.799819545658788,1.760932321710941,0.29411764705882354,159,0.6226415094339622,2.5681638660287405,2.202402415721422,96,0.53125,1.4940504140583741,0.6688798472804498,159,0.6289308176100629,2.806018666622713,1.8971426951516288,96,0.5208333333333334,1.1001034005746073,0.41742628400860193,88,4.599621097666797,71,0.5829621323708903,71,0.050301381744952106,25,4.081541134050829,True,False,True,True,True,True,False
INTERACTION,H1,TIMEFRAME_TREND,hour_bin,UTC08_11,volatility_bucket,LOW,48,444,0.6171171171171171,1.9881830590991822,1.330201690040945,4.39537721867854,-2.7246056955598688,-2.2028159659717153,5.710246466274878,1.6132158960988119,0.2702702702702703,314,0.6624203821656051,2.473448995525918,1.961379155345802,130,0.5076923076923077,0.8160791818838359,0.11568597255131366,313,0.645367412140575,2.41381716145888,1.733872472178605,131,0.549618320610687,0.9712099748351724,0.467209056869427,220,3.425822571896837,93,0.019825867949733122,94,0.24448956146632017,37,2.817472646637121,True,False,True,True,True,True,False
INTERACTION,H1,BAR_CONTINUATION,hour_bin,UTC08_11,volatility_bucket,HIGH,72,300,0.5733333333333334,1.08940089184763,1.2475644684184295,4.506024458166902,-2.9339729123634264,-3.8204480220103214,6.500614362984203,1.5358098362732082,0.26,193,0.5854922279792746,0.8781315086191555,1.5122936955523354,107,0.5514018691588785,1.4704755737457191,1.007949213076434,152,0.5460526315789473,1.2175895152943554,1.0766868267166534,148,0.6013513513513513,0.9577477110104522,1.3154505547068698,101,1.0593239836889277,51,1.5310173327874572,92,0.6792136827273402,56,1.4153393289041367,True,False,True,True,True,True,False
INTERACTION,H1,TIMEFRAME_TREND,hour_bin,UTC00_03,volatility_bucket,LOW,24,289,0.615916955017301,1.2890364237085343,1.1446529137113595,2.8854247454201274,-1.8959950476530654,-1.6126115070182252,4.274084819813504,1.5218524694944828,0.3460207612456747,207,0.6231884057971014,1.368307932985762,1.2299976549216693,82,0.5975609756097561,1.0889241990696792,0.7972511709251944,194,0.6082474226804123,1.4321474711826443,1.2041164168457803,95,0.631578947368421,0.9967886004456152,1.1144033794690604,138,1.9799199496148476,56,0.08227957790328537,69,0.14508389972759025,26,3.257081844658835,True,False,True,True,True,True,False
INTERACTION,H1,BAR_CONTINUATION,hour_bin,UTC08_11,volatility_bucket,HIGH,48,304,0.569078947368421,1.047598415216164,0.8499622176318571,3.5242218643815777,-2.2618363863918765,-2.623124880536558,5.369819508125823,1.5581241355850155,0.2598684210526316,197,0.5634517766497462,0.8628398697869173,0.7464853994991621,107,0.5794392523364486,1.3877613446513188,0.8605475374656436,152,0.5592105263157895,1.0035096345855252,0.728888063260809,152,0.5789473684210527,1.0916871958468026,0.8926201383312793,101,0.7855276778409109,51,1.4351993920601533,96,0.944178738396778,56,1.344558837189702,True,False,True,True,True,True,False
INTERACTION,H1,TIMEFRAME_TREND,hour_bin,UTC04_07,volatility_bucket,LOW,24,394,0.5685279187817259,1.3159637128277073,0.6406192956118988,2.8688724882589227,-1.9448596758364003,-1.4365132538121654,3.864507404688263,1.475105131698072,0.2715736040609137,284,0.5845070422535211,1.435770264790547,1.1282581203163256,110,0.5272727272727272,1.006644978669103,0.23364578563117266,270,0.5666666666666667,1.436467324679987,0.6406192956118988,124,0.5725806451612904,1.053576816052582,0.7245567165618402,190,1.9313209996031897,80,0.2611898467373809,94,0.43412516250967353,30,2.9945253304870287,True,False,True,True,True,True,False
INTERACTION,H4,BAR_CONTINUATION,candle_state,STRONG_DIRECTIONAL,trend_state,CONFLICT,48,111,0.5945945945945946,0.6083863950789925,0.4207653609010625,1.7587906560167264,-1.2423603976703672,-0.8453921698273568,2.245532769777607,1.415684739560881,0.1981981981981982,76,0.5657894736842105,0.6822360941347666,0.358951196141677,35,0.6571428571428571,0.4480270485578832,0.5474751750376793,65,0.6153846153846154,0.8338417965334457,0.5722212530316013,46,0.5652173913043478,0.28980811041509136,0.29756227423362097,44,1.1013492060787198,21,0.27335008129572874,32,0.10595556521183103,14,0.710042499451115,True,False,True,True,True,True,False
INTERACTION,H4,BAR_CONTINUATION,candle_state,INDECISION,trend_state,WEAK_TREND,12,59,0.6271186440677966,0.3254685138028065,0.33025537507800323,0.9373487296848787,-0.5001140504252846,-0.3829585361550679,1.0855661589450964,1.8742699368029765,0.22033898305084745,33,0.6666666666666666,0.411090564577722,0.4302839541224474,26,0.5769230769230769,0.21679437243464458,0.3292579700932072,37,0.6486486486486487,0.38050988565169086,0.33025537507800323,22,0.5909090909090909,0.23289893387513735,0.4143170303741307,20,0.565192417333299,17,0.16323631896744603,13,0.17401079110760348,9,0.3179595845393529,True,False,True,True,True,True,False
INTERACTION,H4,BAR_CONTINUATION,h1_h4_d1_alignment,OPPOSED,extension_bucket,HEALTHY_EXTENSION,12,113,0.584070796460177,0.3612732849755367,0.29689664139231003,0.8367126964733969,-0.4737834089948274,-0.4484390679606093,0.8699636956316718,1.766023631449137,0.20353982300884957,68,0.6029411764705882,0.4179661065253426,0.3404428008664476,45,0.5555555555555556,0.27560413241138565,0.2157931361804314,58,0.5862068965517241,0.362167470616251,0.25017676845588394,55,0.5818181818181818,0.3603303255726017,0.3853549872949915,39,0.45477588325607954,19,0.1720765183555501,29,0.3684633033357308,26,0.35125892729834235,True,False,True,True,True,True,False
INTERACTION,H1,BAR_CONTINUATION,candle_state,INDECISION,trend_state,RANGE,8,231,0.5757575757575758,0.22054166023096128,0.24612298708501762,1.4900537619806216,-0.9611343060635549,-0.7900745596780521,1.4681503892332606,1.5503075403512774,0.06493506493506493,159,0.5660377358490566,0.2059654290127846,0.15504849804886506,72,0.5972222222222222,0.2527308375044347,0.4309203741541964,112,0.5535714285714286,0.2895032488612221,0.13763002658457335,119,0.5966386554621849,0.15563663563777463,0.28725695088155234,86,0.22351037891859055,26,0.5077873571330032,73,0.185296035973068,46,0.10856845684480908,True,False,True,True,True,True,False
INTERACTION,H4,BAR_CONTINUATION,candle_state,STRONG_DIRECTIONAL,trend_state,WEAK_TREND,8,84,0.5833333333333334,0.15328103093755,0.2120849800255431,0.6056470250962067,-0.46355040598072683,-0.4141274614903562,0.5106666531551702,1.306539736093744,0.23809523809523808,49,0.5918367346938775,0.2161778211030756,0.24867050841469818,35,0.5714285714285714,0.06522552470581411,0.1745234231115217,48,0.625,0.23584575225331253,0.31115916335856186,36,0.5277777777777778,0.04319473584986655,0.08724778237513772,29,0.3553288154156123,19,0.05347686637401295,20,0.014408879349897385,16,0.079177056474828,True,False,True,True,True,True,False
