regime,horizon_hours,status,reasons,n_2025,positive_rate_2025,mean_2025,median_2025,n_2026,positive_rate_2026,mean_2026,median_2026,n_latest60,positive_rate_latest60,mean_latest60,median_latest60,n_long_latest60,mean_long_latest60,median_long_latest60,n_short_latest60,mean_short_latest60,median_short_latest60,n_latest30,positive_rate_latest30,mean_latest30,median_latest30,mean_long_latest30,median_long_latest30,mean_short_latest30,median_short_latest30
R1_H1_WEAK_TREND_LOW_VOL,48,CURRENTLY_UNSTABLE,latest30/latest60 sign conflict,362,0.679558,3.197991,2.982864,208,0.538462,0.956674,0.291274,58,0.672414,2.504158,2.149616,16,-4.488134,-4.513547,42,5.167889,5.370132,32,0.500000,-0.434395,0.199003,-4.306991,-4.279433,2.215276,1.443719
R2_H1_UTC08_11_HIGH_VOL_48H,48,CURRENTLY_MAINTAINED,direction medians diverge but both means remain positive,197,0.541463,0.862840,0.746485,107,0.579439,1.387761,0.860548,34,0.558824,1.086073,0.566739,16,1.132793,-0.397071,18,1.044544,0.974576,20,0.550000,1.776095,4.876521,2.901604,5.516839,0.855224,-0.790107
R3_H1_INDECISION_RANGE,8,WEAKENED_BUT_POSITIVE,one direction latest60 mean negative,159,0.562500,0.205965,0.155048,72,0.597222,0.252731,0.430920,33,0.666667,0.623890,0.747780,6,-0.214955,-0.506160,27,0.810301,0.767200,14,0.571429,0.297897,0.179624,-0.077299,-0.109083,0.506339,0.235270
