portfolio,year,short_dd_limit,candidate_loss_lockout_h,n,wins,losses,win_rate,pf,sum,dd,sl_count,base_n,candidate_n,short_n
EXISTING,2024,,,228,148,80,0.6491228070175439,1.6750014393799024,260.8562726601765,28.941120803812026,,188,40,0
EXISTING,2025,,,215,143,72,0.6651162790697674,1.8467592068173104,478.9081121624621,42.922985328270784,,185,30,0
EXISTING,2026,,,99,68,31,0.6868686868686869,2.6876234353811914,851.174435943764,66.06159660301586,,86,13,0
PLUS_STRICT_SAFE,2024,10.0,24.0,242,154,88,0.6363636363636364,1.6452078476376886,279.44973547467157,28.94112080381211,,188,54,14
PLUS_STRICT_SAFE,2025,10.0,24.0,229,150,79,0.6550218340611353,1.9405961307567556,600.1607503293883,42.9229853282708,,185,44,14
PLUS_STRICT_SAFE,2026,10.0,24.0,102,71,31,0.696078431372549,2.8428076234281456,965.6008808154027,66.06159660301591,,86,16,4
PLUS_STRICT_GROWTH,2024,20.0,48.0,244,155,89,0.6352459016393442,1.663476167371073,291.19029151001325,29.5211582508837,,188,56,17
PLUS_STRICT_GROWTH,2025,20.0,48.0,232,151,81,0.6508620689655172,1.8943845597525293,591.9784683029063,49.78817787035052,,185,47,17
PLUS_STRICT_GROWTH,2026,20.0,48.0,102,71,31,0.696078431372549,2.8428076234281456,965.6008808154027,66.06159660301591,,86,16,4
