full_sl_cap_usd,year,candidate_n,candidate_pf_cost060,candidate_sum_cost060,candidate_dd_cost060,candidate_pf_cost100,candidate_sum_cost100,candidate_dd_cost100,average_size_multiplier,minimum_size_multiplier,integrated_pf,integrated_sum,integrated_dd
7.5,2024,39,1.7642842466822937,83.02370422568366,26.99373148910854,1.595386862452901,68.65169036300887,28.99373148910854,0.9212829399150494,0.5407018288780098,1.5050486298519645,206.1891809839263,34.373921514706836
7.5,2025,30,2.141913289182767,81.27732869445005,32.52890785637181,1.9652905208608724,72.46464245074078,34.813959294417586,0.7343905203091072,0.39880197813345,1.7608311829009804,409.2423085881636,50.4229853282709
7.5,2026,14,1.4606881720954716,14.534604971348857,14.999999999999961,1.3943635950149025,12.686511369270068,15.204364597572692,0.3300167146569275,0.24256797511884667,2.2051868856229206,561.0603285134096,52.477371438156865
10.0,2024,39,1.7695514262518341,91.33291353845553,26.99373148910854,1.6050486215374735,76.08816250768272,28.99373148910854,0.9772276301777418,0.7209357718373464,1.512773691039353,214.49839029669818,34.373921514706836
10.0,2025,30,2.155662802358883,97.32733721286608,33.53937262532518,1.9813337692049027,87.06846746714248,35.93937262532518,0.8549058121436326,0.5317359708445999,1.7719537738429358,425.29231710657956,52.922985328270926
10.0,2026,14,1.4606881720954716,19.37947329513181,19.999999999999943,1.3943635950149027,16.91534849236009,20.272486130096922,0.44002228620923667,0.32342396682512886,2.188740060148114,565.9051968371925,54.569605142989644
12.5,2024,39,1.7873022241145877,95.96431708274383,26.99373148910854,1.6231880850886764,80.43067263276399,28.99373148910854,0.9957464391012707,0.901169714796683,1.5198601639722082,219.12979384098645,34.373921514706836
12.5,2025,30,2.1374897926050704,106.58571348034539,33.53937262532518,1.9678852956279567,95.43642231653673,35.93937262532518,0.9291075969840522,0.6646699635557499,1.7754093350253082,434.5506933740588,55.422985328270954
12.5,2026,14,1.4606881720954716,24.224341618914767,24.99999999999993,1.3943635950149027,21.14418561545011,25.340607662621153,0.550027857761546,0.4042799585314111,2.1730041871773556,570.7500651609754,59.42639930465657
15.0,2024,39,1.792967686064176,97.36734889740535,26.99373148910854,1.629035031555079,81.76734889740533,28.99373148910854,1.0,1.0,1.5220758652443602,220.53282565564797,34.373921514706836
15.0,2025,30,2.12918273597201,112.69724382363204,33.53937262532518,1.9627737893191448,101.0248931594867,35.93937262532518,0.9726958886787792,0.7976039562669,1.7778456693979392,440.66222371734546,57.92298532827098
15.0,2026,14,1.4606881720954716,29.069209942697714,29.999999999999922,1.3943635950149025,25.373022738540136,30.408729195145384,0.660033429313855,0.48513595023769335,2.157934143119435,575.5949334847585,64.28319346632338
