timeframe,all_decisions,source_covered,activated,coverage,exact_activation,after_closure,median_delay,p95_delay,max_delay
H1,8636,8479,8479,1.0,8110,369,0.0,0.0,4380.0
H4,2257,2216,2216,1.0,1875,341,0.0,60.0,4380.0
