h1_vol_regime,n,win,pf,sum,dd,positive_months,losing_months,top5_share,pf_cost100,sum_cost100
LOW,40,0.5,1.335213652206913,65.99772575903148,58.868417759437946,11,7,1.8564173876115158,1.244031131872499,49.99772575903148
MID,39,0.6410256410256411,2.330620222222969,173.1513860413601,26.371189924100946,13,4,0.6712590431301303,2.160784835494375,157.55138604136005
HIGH,4,0.5,2.055278361665453,6.916143232352944,5.413856767647394,2,2,1.9476172698374938,1.7229054631225407,5.3161432323529425
