variant,year,n,wins,losses,win_rate,pf,sum,dd,sl_count,positive_months,losing_months,pf_cost100,sum_cost100
RAW,2024,76,33,43,0.4342105263157895,1.2564292779424377,71.08258342000899,57.837128533120676,33,8,3,1.138187413585926,40.682583420008996
RAW,2025,77,30,47,0.38961038961038963,1.109374501623421,54.1250986276407,124.23246457666866,32,6,6,1.0453910230883994,23.325098627640727
RAW,2026,25,10,15,0.4,0.8300492648007671,-69.12704754951216,164.90617325473988,13,2,3,0.808389397750861,-79.1270475495121
BALANCED_H1_BODY,2024,39,20,19,0.5128205128205128,1.7030684529069513,93.4214328710722,30.21468820042223,16,7,3,1.5539809768873274,77.82143287107215
BALANCED_H1_BODY,2025,38,16,22,0.42105263157894735,1.6019406790955135,142.37584612292105,72.80967632179073,14,7,5,1.5183910025948752,127.17584612292103
BALANCED_H1_BODY,2026,10,5,5,0.5,1.1170108653743533,14.16343790971132,82.38530626004378,4,3,1,1.0824594392392217,10.16343790971132
STRICT_RISK_SCORE,2024,26,14,12,0.5384615384615384,1.9723314178589373,75.10478732695826,15.560852800364682,10,7,4,1.7886791712653711,64.70478732695824
STRICT_RISK_SCORE,2025,28,14,14,0.5,2.0613184942959055,171.0602588080598,52.02778373765605,8,7,3,1.9585263156077086,159.86025880805983
STRICT_RISK_SCORE,2026,7,5,2,0.7142857142857143,3.2214759039330025,98.79468004878326,44.47254182405159,2,3,1,3.1203731043390395,95.99468004878327
