mode,year,n,wins,losses,win_rate,pf_spread_adjusted,profit_spread_adjusted,dd_spread_adjusted,pf_cost1,profit_cost1,dd_cost1,median_stop_usd,mean_stop_usd,max_stop_usd,mean_r,sum_r,median_duration_hours,p90_duration_hours,max_duration_hours
RAW_INDEPENDENT,2023,71,44,27,0.6197183098591549,1.80707229342925,159.30799999999954,55.48799999999892,1.45082622117305,99.30799999999952,71.73800000000055,5.980000000000018,6.989718309859155,23.549999999999955,0.32103569848972247,22.793534592770296,6.366666666666666,51.0,245.3
RAW_INDEPENDENT,2024,67,38,29,0.5671641791044776,1.4349618465630085,137.3739999999957,72.0979999999995,1.2488228517413427,84.233999999997,86.46799999999958,7.479999999999791,10.35074626865671,32.75,0.20426544997956064,13.685785148630563,6.0,59.45999999999999,136.41666666666666
RAW_INDEPENDENT,2025,54,25,29,0.46296296296296297,1.901968415115634,319.8380000000029,135.907999999999,1.72728185348585,275.2979999999993,151.40800000000078,11.899999999999864,16.948518518518533,65.50999999999976,-0.0094174700966124,-0.5085433852170695,4.15,29.205000000000013,645.6666666666666
RAW_INDEPENDENT,2026,20,6,14,0.3,0.708827362144986,-163.112000000001,331.9200000000001,0.6876782398486483,-178.2920000000011,337.35000000000036,40.45500000000038,44.45000000000009,134.92000000000007,-0.3600604213374168,-7.201208426748336,9.100000000000001,57.805000000000014,139.28333333333333
RAW_INDEPENDENT,ALL,212,113,99,0.5330188679245284,1.3175103815799583,453.4079999999972,331.9200000000001,1.1860151173584366,280.5479999999948,337.35000000000036,8.75,14.122594339622651,134.92000000000007,0.13570550910111062,28.769567929435453,5.525,55.16833333333334,645.6666666666666
BLOCK_ANY_ONE_POSITION,2023,39,26,13,0.6666666666666666,1.6745876651293747,86.30000000000064,36.58399999999892,1.380887322930899,52.970000000000105,45.21400000000013,6.4099999999998545,7.891538461538461,23.549999999999955,0.43407342006995137,16.928863382728103,8.65,43.16666666666676,245.3
BLOCK_ANY_ONE_POSITION,2024,53,32,21,0.6037735849056604,1.6624126014626541,164.84799999999677,63.797999999999774,1.4635643713703812,122.927999999998,73.47799999999953,7.539999999999964,11.212641509433949,32.75,0.2873444605561492,15.229256409475907,10.4,64.24,136.41666666666666
BLOCK_ANY_ONE_POSITION,2025,39,19,20,0.48717948717948717,2.4458722707893825,335.7460000000019,66.64999999999918,2.220106926076293,303.52599999999995,70.74999999999955,11.9699999999998,18.073076923076943,65.50999999999976,0.040254381492521425,1.5699208782083356,4.0,30.44666666666667,645.6666666666666
BLOCK_ANY_ONE_POSITION,2026,12,5,7,0.4166666666666667,1.424592406373617,114.84799999999996,189.55000000000018,1.3824256259738326,105.53799999999899,192.7400000000007,41.20500000000038,49.25500000000011,134.92000000000007,-0.10943376233000447,-1.3132051479600537,9.100000000000001,56.92333333333334,139.28333333333333
BLOCK_ANY_ONE_POSITION,ALL,143,82,61,0.5734265734265734,1.7978965082036165,701.7419999999993,189.55000000000018,1.6296752387000892,584.9619999999971,192.7400000000007,9.780000000000655,15.370279720279731,134.92000000000007,0.2266771714856803,32.414835522452286,6.016666666666667,62.63999999999998,645.6666666666666
