candidate,year,n,win,pf,sum,dd,positive_months,losing_months,pf_cost100,sum_cost100
CROSS_LONG,2024,90,0.5333333333333333,1.4275539307175449,96.72401523230953,39.70727188455366,9,3,1.2497733533301918,60.72401523230951
CROSS_LONG,2025,87,0.47126436781609193,1.1233814369470092,52.09019453637962,149.35885835094345,8,4,1.0392434297349005,17.29019453637966
CROSS_LONG,2026,64,0.5,1.1172898648452128,77.821806895227,218.1389728971111,3,3,1.0772169437057575,52.22180689522702
SHAPE_LONG,2024,292,0.4280821917808219,1.0441468826193332,40.29196520507308,99.37441073325536,8,4,0.9218946910722562,-76.50803479492697
SHAPE_LONG,2025,297,0.468013468013468,1.1613914155683331,260.686194197355,290.8690598299189,8,4,1.0845158323265878,141.88619419735505
SHAPE_LONG,2026,110,0.4090909090909091,1.1096006639647047,143.37202233747954,387.2310916686807,3,3,1.0744844583705606,99.3720223374794
SQUEEZE_LONG,2024,62,0.5483870967741935,1.2079349059743338,41.91371062154103,45.476873473630434,7,5,1.0804324178835767,17.11371062154103
SQUEEZE_LONG,2025,69,0.5362318840579711,1.3699756521581343,132.76091698902664,111.54518795117971,7,5,1.282921155129498,105.16091698902665
SQUEEZE_LONG,2026,29,0.3793103448275862,0.5519340861099619,-182.18847411663447,215.4750283806823,1,5,0.5316979688660319,-193.78847411663446
SHORT_EXHAUST,2024,76,0.4342105263157895,1.2564292779424377,71.08258342000899,57.837128533120676,8,3,1.138187413585926,40.682583420008996
SHORT_EXHAUST,2025,77,0.38961038961038963,1.109374501623421,54.1250986276407,124.23246457666866,6,6,1.0453910230883994,23.325098627640727
SHORT_EXHAUST,2026,25,0.4,0.8300492648007671,-69.12704754951216,164.90617325473988,2,3,0.808389397750861,-79.1270475495121
