candidate_id,setup,activation,retest,entry,exit,profile,n,wr,pf,net,status
VA_SHORT_LEVEL_RECLAIM_BASE_P50,VOLUME_ABSORPTION SHORT,3 USD favorable within 15m before 1 USD adverse,"1 USD pullback through frozen activation level, then later bearish close back below activation level within 30m",next M1 open,"50% at +5 USD; remaining 50% to breakeven; final +10 USD; initial SL 5 USD; horizon 240m",BALANCED,19,0.631579,1.714286,25.0,OBSERVATION_ONLY
VA_SHORT_EXTREME_RESUME_BASE_P50,VOLUME_ABSORPTION SHORT,3 USD favorable within 15m before 1 USD adverse,"0.5 USD retracement from favorable extreme, then bearish close below prior M1 low and activation level within 30m",next M1 open,"50% at +5 USD; remaining 50% to breakeven; final +10 USD; initial SL 5 USD; horizon 240m",BALANCED,41,0.609756,1.65625,52.5,OBSERVATION_ONLY
